HOST_COMMON_NAME,OBJID,RA,DEC,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID
NGC7166,DES-247092888,330.5717,-43.2322,206,-132,18.21,-14.4,0.45,23.52,7.52,Y,AAT,pgc67817,247092888
NGC7166,DES-219810437,330.3291,-43.1353,169,-259,19.39,-13.2,0.15,23.46,6.71,Y,AAT,pgc67817,219810437
PGC068743,NSA-636065,336.0479,-3.4834,98,-17,13.42,-19.5,0.40,22.55,9.51,Y,6dF,nsa149781,636065
PGC068743,NSA-636047,335.8363,-3.6598,164,195,14.86,-18.1,0.57,21.65,9.12,Y,6dF,nsa149781,636047
PGC068743,LS-312992-1567,335.9799,-3.2706,118,14,15.94,-17.0,0.59,22.20,8.72,Y,AAT,nsa149781,3129920000000001567
PGC068743,LS-311554-3218,335.9729,-3.4296,40,-85,17.84,-15.1,0.63,23.28,8.00,N,MMT,nsa149781,3115540000000003218
PGC068743,LS-310115-2825,335.9540,-3.7010,185,-30,19.54,-13.4,0.22,24.25,6.87,Y,AAT,nsa149781,3101150000000002825
NGC7328,LS-390486-3250,339.3833,10.3132,148,-21,18.90,-14.1,0.38,24.01,7.29,N,PAL,nsa149977,3904860000000003250
NGC7541,NSA-637123,348.6438,4.4984,34,11,12.71,-20.2,0.67,19.85,10.07,Y,ALFALF,nsa150887,637123
NGC7541,LS-359104-131,348.6965,4.6396,70,182,14.40,-18.5,0.25,23.86,8.93,Y,ALFALF,nsa150887,3591040000000000131
NGC7541,LS-356233-3798,348.7769,4.3732,123,-13,15.31,-17.6,0.52,23.21,8.86,Y,MMT,nsa150887,3562330000000003798
NGC7541,LS-357669-3767,348.8745,4.6131,137,68,16.13,-16.8,0.37,24.18,8.37,Y,ALFALF,nsa150887,3576690000000003767
NGC7541,LS-357668-2728,348.6214,4.5073,44,-121,18.01,-14.9,0.48,23.47,7.74,N,AAT,nsa150887,3576680000000002728
NGC7541,LS-360540-737,348.5546,4.9151,267,125,20.77,-12.1,0.06,24.29,6.18,Y,MMT,nsa150887,3605400000000000737
NGC7716,NSA-31702,354.3508,0.3910,144,119,13.70,-19.0,0.39,23.33,9.29,Y,SDSS+,nsa61945,31702
NGC7716,NSA-31683,354.1952,0.6234,200,59,15.61,-17.1,0.41,22.84,8.55,Y,SDSS+,nsa61945,31683
